mode,id,candidateMedianBatchP50Us,referenceMedianBatchP50Us,batchP50DeltasUs,candidateMeanUs,referenceMeanUs,batchMeanDeltasUs,medianBatchP50DeltaUs
summary,spending/requestMaterials,2.770500000224274,4.77050000017698,"[-1.7079999997804407, -2.0000000004074536, -2.2490000001198496, -1.9160000001647859]",2.990669999999227,4.908098333340452,"[-1.6430733332981617, -1.8691666666533513, -2.183170000043901, -1.9743033333694862]",-1.9580000002861198
summary,spending/materialStore,2.250000000003638,2.250500000172906,"[0.2500000000509317, -0.04199999966658652, -0.25100000038946746, 0.08299999990413198]",2.4233158333224005,2.4125700000096613,"[0.4945933333177282, 0.007259999980912223, -0.3671299999981181, -0.09174000004956397]",0.020500000118772732
summary,spending/materialSnapshot,2.1665000003849855,2.250000000003638,"[0.16700000014679972, -0.1249999995707185, -0.3329999999550637, -0.000999999429041054]",4.789812500008945,2.3494100000038998,"[10.005723333336695, -0.05695666669756341, -0.1199166666629027, -0.06723999995604871]",-0.06299999949987978
summary,spending/effectProposals,2.1249999995234248,2.2500000004583853,"[0.1249999986612238, -0.16599999980826396, -0.33400000029359944, -0.08300000081362668]",2.2446950000153265,2.334357500005808,"[0.1884166666817088, -0.09939999997186531, -0.31142666667922925, -0.13623999999253997]",-0.12450000031094532
summary,spending/currentFacts,4.187499999716238,2.5625000002946763,"[1.9169999986843322, 1.6249999998763087, 1.374999999825377, 1.624999998966814]",6.4758000000028915,2.6815216666553474,"[1.827746666704115, 10.271296666672546, 1.3254500000372593, 1.7526199999762562]",1.6249999994215614
summary,spending/verificationFacts,2.187499999308784,2.2914999995009566,"[0.1250000004802132, -0.16600000071775867, -0.3750000005311449, 0.0]",2.306619999993321,2.415155000012419,"[0.09817999999237742, -0.1282100000298673, -0.410783333342503, 0.00667333330360044]",-0.08300000035887933
summary,spending/localFacts,2.12550000014744,2.2709999998369312,"[0.1250000004802132, -0.1249999995707185, -0.37400000019260915, -0.08299999990413198]",2.3468141666823312,2.3470441666548445,"[0.27346666672201525, 0.029176666691152486, -0.18291666667209944, -0.12064666663112213]",-0.10399999973742524
summary,spending/inboxFacts,2.145500000096945,2.24949999983437,"[0.12599999990925426, -0.1249999995707185, -0.37400000110210385, -0.04099999932805076]",2.267394999988331,2.362457499987916,"[0.07639000000987531, 0.14252333335813697, -0.5566599999959482, -0.042503333370404794]",-0.08299999944938463
summary,spending/publicationPolicy,3.3334999998260173,3.4995000000890286,"[0.08399999933317304, -0.1250000004802132, -0.3750000005311449, -0.12400000014167745]",3.4507591666488224,3.5828708333459267,"[0.014276666615842086, 0.05430000000463536, -0.49540666669296723, -0.10161666671592695]",-0.12450000031094532
summary,spending/occurrences,2.0830000003115856,2.2085000005063193,"[0.20799999856535578, -0.20799999856535578, -0.3750000005311449, -0.04200000057608122]",2.21459749998985,4.8249783333312735,"[0.20416666663550156, -0.07393333331189413, -0.4736766666671127, -10.098080000022188]",-0.1249999995707185
