row,pair,rep,variant,kind,position,slot,phase,p95_ms,p50_ms,sum_ms
P2-lifecycle,1,0,U,main,1,1,residual,0.07458400000018628,0.05910449999998946,2.9973399999987578
P2-lifecycle,1,0,V,main,0,1,construction,0.5895409999999401,0.4467709999999556,23.407205000000147
P2-lifecycle,1,0,V,main,0,1,initial,5.530124999999998,4.704187500000046,236.80504000000013
P2-lifecycle,1,0,V,main,0,1,duplicate,2.487166000000002,1.9374374999999873,100.93608400000011
P2-lifecycle,1,0,V,main,0,1,cleanup,0.18120799999996962,0.12212500000003956,6.78070600000018
P2-lifecycle,1,0,V,main,0,1,actionSum,8.273957000000053,7.290729999999968,367.92903500000057
P2-lifecycle,1,0,V,main,0,1,wall,8.342666000000008,7.364937499999996,371.09895300000034
P2-lifecycle,1,0,V,main,0,1,residual,0.08362599999986742,0.0603964999999107,3.169917999999768
P2-lifecycle,1,0,V,main,1,0,construction,0.5463330000000042,0.4479994999999235,22.84541899999931
P2-lifecycle,1,0,V,main,1,0,initial,7.218583000000081,6.0287914999998975,309.385041
P2-lifecycle,1,0,V,main,1,0,duplicate,4.097042000000101,3.437520999999947,177.2554970000001
P2-lifecycle,1,0,V,main,1,0,cleanup,0.1879999999998745,0.1320415000000139,6.888083999999935
P2-lifecycle,1,0,V,main,1,0,actionSum,11.643415999999888,10.299103500000001,516.3740409999994
P2-lifecycle,1,0,V,main,1,0,wall,11.734541000000036,10.3699795,520.0158770000005
P2-lifecycle,1,0,V,main,1,0,residual,0.09112500000014734,0.07231200000023819,3.641836000001149
P2-lifecycle,1,1,U,main,0,0,construction,0.5536250000000109,0.4506669999999531,23.251209000000244
P2-lifecycle,1,1,U,main,0,0,initial,6.9721250000000055,5.793624999999963,294.95383499999997
P2-lifecycle,1,1,U,main,0,0,duplicate,4.152709000000016,3.322812499999941,171.09570899999972
P2-lifecycle,1,1,U,main,0,0,cleanup,0.15445899999997437,0.13052050000004556,6.571917000000212
P2-lifecycle,1,1,U,main,0,0,actionSum,11.57183299999997,9.733207999999934,495.87267000000014
P2-lifecycle,1,1,U,main,0,0,wall,11.692291000000068,9.793311999999958,499.5372080000003
P2-lifecycle,1,1,U,main,0,0,residual,0.09445799999991777,0.06354099999992968,3.6645380000001637
P2-lifecycle,1,1,U,main,1,1,construction,0.5640840000000935,0.43066650000014306,22.089458999999806
P2-lifecycle,1,1,U,main,1,1,initial,5.532124999999951,4.3605834999999615,228.55466299999966
P2-lifecycle,1,1,U,main,1,1,duplicate,2.4791669999999613,1.8166459999999915,95.4974139999988
P2-lifecycle,1,1,U,main,1,1,cleanup,0.15058300000009694,0.11529150000001209,5.914415000000645
P2-lifecycle,1,1,U,main,1,1,actionSum,8.166042999999718,6.747458499999766,352.0559509999989
P2-lifecycle,1,1,U,main,1,1,wall,8.236916999999949,6.801353999999947,354.79375199999913
P2-lifecycle,1,1,U,main,1,1,residual,0.07087400000023081,0.05477150000012898,2.7378010000002178
P2-lifecycle,1,1,V,main,0,1,construction,0.5570830000000342,0.44599999999996953,23.236706000000595
P2-lifecycle,1,1,V,main,0,1,initial,5.62925000000007,4.714687499999997,239.33133300000054
P2-lifecycle,1,1,V,main,0,1,duplicate,2.434958999999992,1.9166874999999663,99.8407519999999
P2-lifecycle,1,1,V,main,0,1,cleanup,0.1507090000000062,0.12074999999998681,6.125584999999887
P2-lifecycle,1,1,V,main,0,1,actionSum,8.513832999999977,7.272999500000083,368.5343760000009
P2-lifecycle,1,1,V,main,0,1,wall,8.577875000000063,7.337957999999958,371.68929199999997
P2-lifecycle,1,1,V,main,0,1,residual,0.0969159999999647,0.06193749999999909,3.154915999999048
P2-lifecycle,1,1,V,main,1,0,construction,0.5502500000000055,0.46372949999999946,23.46350200000097
P2-lifecycle,1,1,V,main,1,0,initial,7.049208999999792,6.095354000000043,304.90603799999985
P2-lifecycle,1,1,V,main,1,0,duplicate,4.197709000000032,3.3179999999999836,171.27491799999916
P2-lifecycle,1,1,V,main,1,0,cleanup,0.1878750000000764,0.13337499999988722,6.888668000000507
P2-lifecycle,1,1,V,main,1,0,actionSum,11.887707999999975,10.070562500000165,506.5331260000005
P2-lifecycle,1,1,V,main,1,0,wall,11.951790999999957,10.14750000000015,510.0395460000004
P2-lifecycle,1,1,V,main,1,0,residual,0.10166599999979553,0.06554150000022219,3.5064199999999346
P2-lifecycle,2,0,U,main,0,0,construction,0.5334589999999935,0.4453330000000051,22.675249000000292
P2-lifecycle,2,0,U,main,0,0,initial,6.563457999999969,5.740812500000004,291.25225499999976
P2-lifecycle,2,0,U,main,0,0,duplicate,3.8557080000000497,3.341729000000015,168.24337099999997
P2-lifecycle,2,0,U,main,0,0,cleanup,0.16208400000004985,0.13097899999996798,6.676582999999823
P2-lifecycle,2,0,U,main,0,0,actionSum,11.213248999999792,9.659145499999909,488.84745799999985
P2-lifecycle,2,0,U,main,0,0,wall,11.278082999999924,9.747020499999962,491.9907870000002
P2-lifecycle,2,0,U,main,0,0,residual,0.08491600000002109,0.06273000000004458,3.1433290000003353
P2-lifecycle,2,0,U,main,1,1,construction,0.5755420000000413,0.447208000000046,23.0502110000009
P2-lifecycle,2,0,U,main,1,1,initial,5.6519170000001395,4.507542000000058,235.63783600000124
P2-lifecycle,2,0,U,main,1,1,duplicate,2.7604160000000775,1.8853750000000673,99.83129099999974
P2-lifecycle,2,0,U,main,1,1,cleanup,0.15312500000004547,0.12191649999999754,6.227082000000337
P2-lifecycle,2,0,U,main,1,1,actionSum,8.819793000000118,7.121020999999928,364.7464200000022
P2-lifecycle,2,0,U,main,1,1,wall,8.876874999999927,7.184103999999934,367.74745800000096
P2-lifecycle,2,0,U,main,1,1,residual,0.07808399999976245,0.05793800000003557,3.0010379999987435
P2-lifecycle,2,0,V,main,0,1,construction,0.6427499999999782,0.4377709999999979,23.65191999999962
P2-lifecycle,2,0,V,main,0,1,initial,5.643583999999919,4.635562499999992,236.44033399999967
P2-lifecycle,2,0,V,main,0,1,duplicate,2.764542000000006,1.9559169999999995,101.19812100000013
P2-lifecycle,2,0,V,main,0,1,cleanup,0.18183299999998326,0.12108349999999746,6.727336999999579
P2-lifecycle,2,0,V,main,0,1,actionSum,8.393540999999914,7.298895500000015,368.017711999999
P2-lifecycle,2,0,V,main,0,1,wall,8.466208000000051,7.371187500000019,371.8644649999995
P2-lifecycle,2,0,V,main,0,1,residual,0.09408300000006875,0.07400049999995417,3.84675300000049
P2-lifecycle,2,0,V,main,1,0,construction,0.5045419999999012,0.4209579999999278,21.30291799999884
P2-lifecycle,2,0,V,main,1,0,initial,7.353749999999991,5.689979500000163,296.30891800000086
P2-lifecycle,2,0,V,main,1,0,duplicate,4.037166999999954,3.3553539999999202,171.54919999999993
P2-lifecycle,2,0,V,main,1,0,cleanup,0.1504170000000613,0.12062500000013188,6.100625000000264
P2-lifecycle,2,0,V,main,1,0,actionSum,11.734125999999833,9.736416500000018,495.2616609999999
P2-lifecycle,2,0,V,main,1,0,wall,11.794791999999916,9.811916499999938,498.72287600000004
P2-lifecycle,2,0,V,main,1,0,residual,0.09149999999976899,0.06589549999989686,3.461215000000152
P2-lifecycle,2,1,U,main,0,0,construction,0.8120000000000118,0.46337549999998373,24.50617000000011
P2-lifecycle,2,1,U,main,0,0,initial,6.992582999999968,5.888541500000031,298.3368739999996
P2-lifecycle,2,1,U,main,0,0,duplicate,4.15625,3.349646000000007,172.60325100000023
P2-lifecycle,2,1,U,main,0,0,cleanup,0.2628750000000082,0.1322499999999991,8.539835999999525
P2-lifecycle,2,1,U,main,0,0,actionSum,11.277332999999942,9.95558449999993,503.9861309999995
P2-lifecycle,2,1,U,main,0,0,wall,11.340791999999965,10.042125499999997,507.4928329999997
P2-lifecycle,2,1,U,main,0,0,residual,0.08870800000011059,0.06877099999988445,3.506702000000189
P2-lifecycle,2,1,U,main,1,1,construction,0.4888339999999971,0.4122710000000325,21.00616800000057
P2-lifecycle,2,1,U,main,1,1,initial,5.272666999999956,4.518479500000012,231.7347960000002
P2-lifecycle,2,1,U,main,1,1,duplicate,2.3506669999999303,1.911958000000027,97.77562399999965
P2-lifecycle,2,1,U,main,1,1,cleanup,0.1395829999999023,0.11239599999998973,5.687164999999823
P2-lifecycle,2,1,U,main,1,1,actionSum,8.012832999999773,7.014562000000069,356.20375300000023
P2-lifecycle,2,1,U,main,1,1,wall,8.069708999999875,7.108416499999976,359.6097510000002
P2-lifecycle,2,1,U,main,1,1,residual,0.10979100000008657,0.05618749999985084,3.405997999999954
P2-lifecycle,2,1,V,main,0,1,construction,0.5747499999999945,0.42756199999999467,22.745415999999977
P2-lifecycle,2,1,V,main,0,1,initial,5.328540999999973,4.617186999999973,234.0552919999999
P2-lifecycle,2,1,V,main,0,1,duplicate,2.526124999999979,1.9110000000000014,100.23350100000033
P2-lifecycle,2,1,V,main,0,1,cleanup,0.15962500000000546,0.1208124999999427,6.132878000000346
P2-lifecycle,2,1,V,main,0,1,actionSum,8.10566700000004,7.246770500000082,363.16708700000055
P2-lifecycle,2,1,V,main,0,1,wall,8.20025000000004,7.303020500000002,366.20091800000006
P2-lifecycle,2,1,V,main,0,1,residual,0.09458300000000008,0.058771000000035656,3.033830999999509
P2-lifecycle,2,1,V,main,1,0,construction,0.5086250000001655,0.42116649999991296,21.168751999999927
P2-lifecycle,2,1,V,main,1,0,initial,7.005374999999958,5.788771000000111,295.8560420000001
P2-lifecycle,2,1,V,main,1,0,duplicate,4.080166999999847,3.3212705000000824,170.17166199999974
P2-lifecycle,2,1,V,main,1,0,cleanup,0.1492080000000442,0.12131199999998898,6.140040000000681
P2-lifecycle,2,1,V,main,1,0,actionSum,11.470666000000165,9.714959000000022,493.33649600000047
P2-lifecycle,2,1,V,main,1,0,wall,11.539582999999993,9.789520999999922,496.71895900000004
P2-lifecycle,2,1,V,main,1,0,residual,0.08670799999981682,0.06499949999977161,3.382462999999575
P2-lifecycle,3,0,V,main,0,1,construction,0.5591249999999945,0.43524999999999636,22.317125000000033
P2-lifecycle,3,0,V,main,0,1,initial,5.359000000000037,4.628437500000018,233.42441899999972
P2-lifecycle,3,0,V,main,0,1,duplicate,2.4758330000000797,1.9396669999999858,99.31820599999992
P2-lifecycle,3,0,V,main,0,1,cleanup,0.1815839999999298,0.1188749999999743,6.290295000000299
P2-lifecycle,3,0,V,main,0,1,actionSum,8.224625999999944,7.185063000000042,361.35004499999997
