passIndex,orientation,phase,Bposition,Sposition,Dposition,Bp50,Sp50,Dp50,Bp95,Sp95,Dp95,Sp50overB,Dp50overS,Sp95overB,Dp95overS,BconstructionMs,SconstructionMs,DconstructionMs
1,U,b0s0-warmup,11,7,9,0.32289600000000007,0.3181044999999898,0.32931250000000034,0.672333000000009,0.7032080000000178,0.6252920000000017,0.9851608567464128,1.0352337046474065,1.0459221843937578,0.8891992127506881,36.97403700000004,36.49486800000014,37.77283699999998
1,U,b0s0-measured,11,7,9,0.2870414999999724,0.2856040000000064,0.2826874999999802,0.3937090000000012,0.39274999999997817,0.38612500000004957,0.9949920133501039,0.9897883082869073,0.9975641908109212,0.9831317632083285,91.23329400000065,89.95712999999938,89.22115300000064
1,U,b0s1-warmup,11,7,9,0.32139600000002133,0.3224170000000015,0.32656250000002274,0.625458999999978,0.6747080000000096,0.7439169999999535,1.0031767663567066,1.0128575726466693,1.0787405729232986,1.1025762255671236,36.06425100000001,36.39258699999999,37.74949600000008
1,U,b0s1-measured,11,7,9,0.29285350000000676,0.288833000000011,0.2946460000000002,0.39837499999998727,0.3797089999999912,0.4313329999999951,0.9862712926429232,1.0201258166483365,0.953144650141207,1.135956745823789,91.34516299999967,90.76599399999952,93.053256000001
1,U,b1s0-warmup,11,7,9,0.27341699999993807,0.2725834999999961,0.2661044999999831,0.3589169999999058,0.33474999999998545,0.36141699999996035,0.9969515428815978,0.9762311365140843,0.9326668839873099,1.0796624346526544,28.54587200000003,28.122039999999743,27.624283999999648
1,U,b1s0-measured,11,7,9,0.26454200000000583,0.26131300000002966,0.2646670000000313,0.3719580000000633,0.3543329999999969,0.3669999999999618,0.9877939986846093,1.012835182329242,0.9526156178921723,1.0357488577128435,83.88142099999948,82.23084000000051,82.99583599999937
1,U,b1s1-warmup,11,7,9,0.28962499999994407,0.27702099999999064,0.2774580000000242,0.38149999999996,0.41954199999997854,0.40658300000006875,0.9564816573156466,1.0015774977349499,1.099716906946324,0.9691115549815978,30.344455999999695,29.945709000000875,29.924996000000192
1,U,b1s1-measured,11,7,9,0.26154149999996434,0.2556250000000091,0.2616664999999898,0.3338329999999132,0.3296250000000782,0.38687499999991815,0.9773783510457956,1.0236342298287746,0.9873948950528075,1.1736822146373191,81.50625699999966,79.50461599999835,83.90258800000095
1,U,b2s0-warmup,11,7,9,0.2577494999999317,0.26933400000001484,0.271229500000004,0.3361250000000382,0.4173749999999927,0.3399580000000242,1.0449448010571747,1.0070377301045879,1.2417255485308896,0.8145145253070503,27.291455999999016,29.338790999999787,27.91971199999989
1,U,b2s0-measured,11,7,9,0.27681300000006104,0.2607705000000351,0.24766599999998107,0.36000000000012733,0.3361249999998108,0.3269580000001042,0.9420457131709046,0.9497469997562904,0.9336805555546999,0.9727274079592063,86.03528999999867,81.4338880000023,77.96232400000235
1,U,b2s1-warmup,11,7,9,0.2752709999999752,0.2714164999999866,0.28556250000008276,0.3765410000000884,0.3937919999998485,0.4188329999999496,0.9859974352547529,1.0521191600366846,1.0458144000248473,1.063589407606327,29.441954999999552,29.200661000000082,32.75175199999967
1,U,b2s1-measured,11,7,9,0.2579999999999245,0.2567500000000109,0.2454169999999749,0.3096659999998792,0.30270800000016607,0.29416700000001583,0.9951550387600234,0.955859785783698,0.9775306297762238,0.9717846901960122,79.63354199999958,78.94083200000023,75.82150499999989
1,V,b0s0-warmup,8,10,6,0.3256874999999866,0.3252290000000073,0.34929150000000675,0.6934579999999926,0.6532499999999857,0.7168330000000083,0.9985922087891635,1.073986329632348,0.9420181178960985,1.0973333333333701,36.68924999999999,37.30595999999997,39.36425
1,V,b0s0-measured,8,10,6,0.286312499999994,0.28739650000001404,0.29622899999998253,0.41887499999995725,0.3877910000000213,0.414291999999989,1.0037860729099153,1.0307328029393819,0.9257917039691098,1.0683383575172354,91.48766799999999,91.20633900000092,93.65575599999966
1,V,b0s1-warmup,8,10,6,0.3179790000000082,0.3209370000000149,0.323791999999969,0.66274999999996,0.6476669999999558,0.6491659999999797,1.0093025011085845,1.008895826906695,0.9772417955488418,1.002314460980757,35.93340800000027,36.81737900000013,36.87304299999954
1,V,b0s1-measured,8,10,6,0.2908539999999675,0.29383349999997677,0.2927500000000123,0.41045800000000554,0.41250000000002274,0.3881660000000693,1.0102439712020792,0.9963125375426404,1.004974930443595,0.941008484848601,91.91238800000025,92.52137300000044,91.96391000000091
1,V,b1s0-warmup,8,10,6,0.27268750000001774,0.2717920000000049,0.2683124999999791,0.34420799999998053,0.36770899999999074,0.3462499999999409,0.9967160210863616,0.9871979307704944,1.0682755775577892,0.9416413522648334,28.19037199999957,28.595290999999975,27.715124999999603
1,V,b1s0-measured,8,10,6,0.2684165000000007,0.26429200000001174,0.261209000000008,0.3690000000000282,0.34466599999996106,0.34924999999998363,0.9846339550661417,0.9883348720354623,0.9340542005418285,1.0132998323014835,84.07225200000005,82.19479700000022,82.29762800000094
1,V,b1s1-warmup,8,10,6,0.27747899999997117,0.2826460000000566,0.2892085000000293,0.39620800000000145,0.3790000000000191,0.41287499999998545,1.0186212289942156,1.023218089058297,0.9565682671728428,1.089379947229458,29.805788999999663,30.05341500000111,30.66808400000002
1,V,b1s1-measured,8,10,6,0.25991649999997435,0.25975000000005366,0.2631250000000023,0.3244999999999436,0.33600000000001273,0.33999999999991815,0.9993594096568679,1.0129932627524463,1.0354391371342715,1.0119047619044799,80.21631899999898,81.22420899999986,82.8258780000001
1,V,b2s0-warmup,8,10,6,0.2519369999999981,0.28702099999998154,0.2981245000000854,0.31129199999998036,0.4246249999998781,0.4052499999997963,1.139257036481278,1.0386853226771022,1.3640729604355555,0.9543715042682663,25.992248999998765,30.552713999999696,30.64149899999893
1,V,b2s0-measured,8,10,6,0.2682915000000321,0.265333499999997,0.26197899999999663,0.36924999999996544,0.3565000000000964,0.3478339999999207,0.9889746786609537,0.9873574200016191,0.9654705484092885,0.9756914445997942,84.89641600000004,83.26595500000076,82.2708720000021
1,V,b2s1-warmup,8,10,6,0.2726669999999558,0.28152049999994233,0.26545850000002247,0.3869170000000395,0.3968330000000151,0.3524170000000595,1.0324700092053236,0.9429455403783271,1.025628235512977,0.8880738245056387,29.50487500000031,29.976250000001755,28.305673000000297
1,V,b2s1-measured,8,10,6,0.256166500000063,0.25912500000004,0.2596250000000282,0.3120000000001255,0.3161670000001777,0.3123329999998532,1.011549129179562,1.0019295706704798,1.0133557692309312,0.9878734972330371,78.82170700000074,80.37312700000302,79.6942549999992
